wweia_category_code,category_num
9602,1
1004,1
1002,1
1006,1
1008,1
1202,1
1404,1
1820,1
1822,1
8412,6
5802,1
9010,1
1208,1
1204,1
1206,1
1402,1
7220,6
9402,1
9404,1
9406,1
9999,6
8008,1
8006,1
5804,6
5502,5
9012,6
1602,1
1604,1
3602,5
2502,4
3720,6
6422,3
3802,6
2002,4
9008,4
2004,4
2602,4
2604,4
2006,4
8002,4
2008,4
2206,4
2202,4
2204,4
3004,4
2010,4
2606,4
2608,4
2402,4
2404,4
3002,4
3404,6
8410,6
3006,4
3202,2
3402,2
3502,2
3708,6
3702,6
3704,6
3706,6
3703,6
2802,3
5004,2
2806,2
8404,2
8406,6
4004,2
2804,2
3722,2
7204,3
5704,6
4202,6
4204,5
5506,5
4206,5
3208,2
5202,5
5504,5
4402,5
4208,5
4404,5
5402,5
5404,5
5204,5
5008,5
5002,5
5006,5
4804,2
4802,2
4002,2
9002,2
4604,2
4602,2
3506,6
3504,5
3406,6
3204,6
3206,1
6012,3
8806,6
7002,3
7006,3
6016,3
6018,3
6002,3
6420,3
6004,3
6014,3
6010,3
6006,3
6008,3
5806,6
7004,3
9004,3
9202,3
6802,3
6806,6
6804,6
6418,3
8408,3
6408,3
6410,3
6404,3
7008,3
6406,3
6402,3
8402,3
6412,3
6416,3
6414,3
9006,3
8004,6
8010,6
8012,6
8802,6
8804,6
5702,6
7302,6
7304,6
7202,6
7102,6
7802,6
7106,6
7502,6
7506,6
7504,6
7702,6
7704,6
7804,6
9204,6
7208,6
9802,6
7206,6
7104,6
